01/2000,17193.29216915238
01/2001,16892.233326663634
01/2002,19375.359496716275
01/2003,20117.437582922277
01/2004,19089.113489987678
01/2005,19129.01444068737
01/2006,27689.915327694605
01/2007,29590.756462569967
01/2008,36543.3714791253
01/2009,42177.73976210348
01/2010,45343.34746705605
01/2011,56840.37134936019
01/2012,77536.694602986
01/2013,71883.53618453114
01/2014,54087.122044869306
01/2015,65066.478344023184
01/2016,59353.97019753993
01/2017,65660.95019823826
01/2018,62795.73649014217
01/2019,66908.93552518584
01/2020,83165.60661096161
01/2021,88997.90652214749
01/2022,93143.59925045256
01/2023,102672.26978893002
01/2024,109404.08898654593
01/2025,156054.66540561785
01/2026,220830.8593313624
