01/2000,51844.79056646711
01/2001,54115.0011561157
01/2002,48808.90410918983
01/2003,29995.056451061137
01/2004,35243.65885988749
01/2005,35558.68252601894
01/2006,42207.415929255185
01/2007,45200.43959277076
01/2008,38454.62727901836
01/2009,27374.837150105104
01/2010,33435.06814779651
01/2011,41658.176021871186
01/2012,45102.01361097184
01/2013,51200.478577815375
01/2014,62355.34163037479
01/2015,85130.43891593846
01/2016,87519.38157516655
01/2017,106638.68570894364
01/2018,116348.76003537877
01/2019,123205.25501398946
01/2020,155789.20295638283
01/2021,166296.66368195886
01/2022,222972.53429697015
01/2023,210691.70356768646
01/2024,254384.976298984
01/2025,335121.2197112258
